selec,filename,recording.id,target,fold
5099,5099_3,15646,0,4
11226,,25785,1,0
5239,5239_17,15666,0,3
8152,,11607,1,2
5098,5098_3,15646,0,4
1010,,16819,1,3
5231,5231_13,15663,0,2
7930,,27069,1,1
5054,5054_9,15603,0,4
11269,,26066,1,2
810,,12157,1,3
8017,,15629,1,0
5564,5564_20,20631,0,2
11178,,26485,1,1
11199,,26487,1,3
808,,12157,1,3
774,,12151,1,3
11209,,26487,1,3
8030,,15629,1,0
5089,5089_0,15623,0,2
8154,,11607,1,2
7918,,28206,1,3
5104,5104_18,15649,0,0
5232,5232_11,15663,0,2
11181,,26485,1,1
6382,,14666,1,1
8205,,15602,1,2
11197,,26487,1,3
6389,,14667,1,3
8193,,15644,1,3
6603,,30928,1,4
5091,5091_14,15624,0,2
8053,,15629,1,0
11174,,26485,1,1
6589,,30926,1,0
8127,,11605,1,0
8214,,24004,1,3
5911,,27297,1,1
11182,,26485,1,1
5564,5564_13,20631,0,2
5082,5082_9,15620,0,2
8210,,24000,1,1
5564,5564_3,20631,0,2
8044,,15629,1,0
6398,,14668,1,3
5485,5485_9,11602,0,1
5229,5229_6,15631,0,1
5241,5241_0,15667,0,4
8199,,15602,1,2
5055,5055_15,15604,0,0
1115,,19145,1,3
7915,,28206,1,3
1019,,16822,1,1
6593,,30926,1,0
5229,5229_0,15631,0,1
6601,,30927,1,0
6381,,14666,1,1
5102,5102_3,15648,0,1
8023,,15629,1,0
6,,11599,1,0
7,,11599,1,0
1146,,19366,1,2
5089,5089_7,15623,0,2
5046,,15589,1,2
13,,11600,1,3
11149,,26483,1,2
11280,,40559,1,0
1137,,19146,1,1
5563,5563_3,20630,0,1
8215,,24004,1,3
11166,,26485,1,1
11156,,26485,1,1
25,,11601,1,4
5108,5108_0,19666,0,4
5096,5096_15,15645,0,4
11147,,26479,1,0
11146,,26478,1,1
5063,,15609,1,4
811,,12157,1,3
8054,,15629,1,0
11260,,26063,1,0
5090,5090_8,15623,0,2
8128,,11605,1,0
1106,,19144,1,4
11220,,25781,1,1
5236,5236_12,15665,0,0
7949,,27073,1,1
8040,,15629,1,0
5113,5113_3,19670,0,4
5917,,27298,1,2
5058,5058_30,15606,0,2
5087,5087_11,15622,0,4
7933,,27071,1,3
5081,5081_3,15620,0,2
8026,,15629,1,0
5051,,15590,1,3
5047,,15589,1,2
5055,5055_12,15604,0,0
5052,,15599,1,2
8014,,15629,1,0
7927,,27069,1,1
5043,,15589,1,2
8134,,11605,1,0
8107,,11603,1,1
7943,,27072,1,3
1119,,19145,1,3
6914,,33657,1,4
7944,,27072,1,3
858,,12735,1,1
5091,5091_0,15624,0,2
5107,5107_27,19666,0,4
11221,,25781,1,1
5113,5113_6,19670,0,4
5103,5103_3,15649,0,0
11224,,25784,1,3
5556,5556_6,20621,0,4
5916,,27297,1,1
11234,,25791,1,1
12,,11600,1,3
8126,,11605,1,0
11254,,26063,1,0
8112,,11603,1,1
7912,,28206,1,3
1021,,16822,1,1
6395,,14668,1,3
5059,5059_4,15607,0,4
6600,,30927,1,0
6386,,14667,1,3
5565,5565_6,20632,0,4
8103,,11603,1,1
5087,5087_1,15622,0,4
5076,,15609,1,4
8025,,15629,1,0
786,,12153,1,0
5100,5100_9,15646,0,4
5068,,15609,1,4
793,,12155,1,4
11171,,26485,1,1
11176,,26485,1,1
5099,5099_6,15646,0,4
6913,,33656,1,2
5055,5055_9,15604,0,0
6390,,14667,1,3
8035,,15629,1,0
5058,5058_35,15606,0,2
5233,5233_11,15664,0,2
5107,5107_25,19666,0,4
8058,,15629,1,0
8041,,15629,1,0
7932,,27071,1,3
5913,,27297,1,1
8200,,15602,1,2
8045,,15629,1,0
5909,,27297,1,1
1013,,16819,1,3
5066,,15609,1,4
11245,,26062,1,4
798,,12156,1,4
11250,,26062,1,4
1127,,19146,1,1
8050,,15629,1,0
7945,,27072,1,3
5044,,15589,1,2
8102,,11603,1,1
