recording_id,mic,species,country,date,recording_url
1029113,Audiomoth,Sandwich Tern,United Kingdom,09/08/2025,https://xeno-canto.org/1029113
1029112,Audiomoth,Sandwich Tern,United Kingdom,09/08/2025,https://xeno-canto.org/1029112
1029000,Audiomoth,Sandwich Tern,United Kingdom,10/08/2025,https://xeno-canto.org/1029000
928043,AudioMoth 1.2.0,Little Tern,Albania,15/05/2024,https://xeno-canto.org/928043
928042,AudioMoth 1.2.0,Little Tern,Albania,15/05/2024,https://xeno-canto.org/928042
928041,AudioMoth 1.2.0,Little Tern,Albania,15/05/2024,https://xeno-canto.org/928041
928040,AudioMoth 1.2.0,Little Tern,Albania,15/05/2024,https://xeno-canto.org/928040
928039,AudioMoth 1.2.0,Little Tern,Albania,15/05/2024,https://xeno-canto.org/928039
928038,AudioMoth 1.2.0,Little Tern,Albania,15/05/2024,https://xeno-canto.org/928038
928037,AudioMoth 1.2.0,Little Tern,Albania,15/05/2024,https://xeno-canto.org/928037
928036,AudioMoth 1.2.0,Little Tern,Albania,15/05/2024,https://xeno-canto.org/928036
928035,AudioMoth 1.2.0,Little Tern,Albania,15/05/2024,https://xeno-canto.org/928035
928033,AudioMoth 1.2.0,Little Tern,Albania,15/05/2024,https://xeno-canto.org/928033
928032,AudioMoth 1.2.0,Little Tern,Albania,15/05/2024,https://xeno-canto.org/928032
928031,AudioMoth 1.2.0,Little Tern,Albania,15/05/2024,https://xeno-canto.org/928031
928030,AudioMoth 1.2.0,Little Tern,Albania,15/05/2024,https://xeno-canto.org/928030
928029,AudioMoth 1.2.0,Little Tern,Albania,15/05/2024,https://xeno-canto.org/928029
928028,AudioMoth 1.2.0,Little Tern,Albania,15/05/2024,https://xeno-canto.org/928028
928026,AudioMoth 1.2.0,Little Tern,Albania,15/05/2024,https://xeno-canto.org/928026
928025,AudioMoth 1.2.0,Little Tern,Albania,15/05/2024,https://xeno-canto.org/928025
928023,AudioMoth 1.2.0,Little Tern,Albania,15/05/2024,https://xeno-canto.org/928023
